School Name,Department Name,URL
Northeastern University,Accounting (ACCT),https://catalog.gmu.edu//course-descriptions/acct/
Northeastern University,Accounting - CPS (ACC),https://catalog.gmu.edu//course-descriptions/acc/
Northeastern University,Advanced Manufacturing Systems - CPS (AVM),https://catalog.gmu.edu//course-descriptions/avm/
Northeastern University,African American Studies (AFAM),https://catalog.gmu.edu//course-descriptions/afam/
Northeastern University,Africana Studies (AFCS),https://catalog.gmu.edu//course-descriptions/afcs/
Northeastern University,African Studies (AFRS),https://catalog.gmu.edu//course-descriptions/afrs/
Northeastern University,American Sign Language (AMSL),https://catalog.gmu.edu//course-descriptions/amsl/
Northeastern University,Analytics - CPS (ALY),https://catalog.gmu.edu//course-descriptions/aly/
Northeastern University,Anthropology (ANTH),https://catalog.gmu.edu//course-descriptions/anth/
Northeastern University,Anthropology - CPS (ANT),https://catalog.gmu.edu//course-descriptions/ant/
Northeastern University,Applied Logistics - CPS (APL),https://catalog.gmu.edu//course-descriptions/apl/
Northeastern University,Arabic (ARAB),https://catalog.gmu.edu//course-descriptions/arab/
Northeastern University,Architecture (ARCH),https://catalog.gmu.edu//course-descriptions/arch/
Northeastern University,Army ROTC (ARMY),https://catalog.gmu.edu//course-descriptions/army/
Northeastern University,Art - CPS (ART),https://catalog.gmu.edu//course-descriptions/art/
Northeastern University,Art - Design (ARTG),https://catalog.gmu.edu//course-descriptions/artg/
Northeastern University,Art - Fundamentals (ARTF),https://catalog.gmu.edu//course-descriptions/artf/
Northeastern University,Art - General (ARTE),https://catalog.gmu.edu//course-descriptions/arte/
Northeastern University,Art - History (ARTH),https://catalog.gmu.edu//course-descriptions/arth/
Northeastern University,Art - Media Arts (ARTD),https://catalog.gmu.edu//course-descriptions/artd/
Northeastern University,Arts Administration and Cultural Entrepreneurship (AACE),https://catalog.gmu.edu//course-descriptions/aace/
Northeastern University,Art - Studio (ARTS),https://catalog.gmu.edu//course-descriptions/arts/
Northeastern University,Asian Studies (ASNS),https://catalog.gmu.edu//course-descriptions/asns/
Northeastern University,Behavioral Neuroscience (BNSC),https://catalog.gmu.edu//course-descriptions/bnsc/
Northeastern University,Biochemistry (BIOC),https://catalog.gmu.edu//course-descriptions/bioc/
Northeastern University,Bioengineering (BIOE),https://catalog.gmu.edu//course-descriptions/bioe/
Northeastern University,Bioinformatics (BINF),https://catalog.gmu.edu//course-descriptions/binf/
Northeastern University,Biology (BIOL),https://catalog.gmu.edu//course-descriptions/biol/
Northeastern University,Biology - CPS (BIO),https://catalog.gmu.edu//course-descriptions/bio/
Northeastern University,Biotechnology (BIOT),https://catalog.gmu.edu//course-descriptions/biot/
Northeastern University,Biotechnology - CPS (BTC),https://catalog.gmu.edu//course-descriptions/btc/
Northeastern University,Business Administration (BUSN),https://catalog.gmu.edu//course-descriptions/busn/
Northeastern University,Cardiopulmonary and Exercise Science (EXSC),https://catalog.gmu.edu//course-descriptions/exsc/
Northeastern University,Chemical Engineering (CHME),https://catalog.gmu.edu//course-descriptions/chme/
Northeastern University,Chemistry and Chemical Biology (CHEM),https://catalog.gmu.edu//course-descriptions/chem/
Northeastern University,Chemistry - CPS (CHM),https://catalog.gmu.edu//course-descriptions/chm/
Northeastern University,Chinese (CHNS),https://catalog.gmu.edu//course-descriptions/chns/
Northeastern University,Civil and Environmental Engineering (CIVE),https://catalog.gmu.edu//course-descriptions/cive/
Northeastern University,Commerce and Economic Development - CPS (CED),https://catalog.gmu.edu//course-descriptions/ced/
